5.101.158.31, RU, 2020-06-17 06:12:59, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 08:19:01, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-17 09:13:49, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
5.101.158.31, RU, 2020-06-18 00:15:45, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 02:15:48, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 04:21:22, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 06:18:19, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 08:19:30, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 10:12:40, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 12:23:52, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-18 12:58:08, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-18 12:58:40, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-18 13:01:55, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
